Id,Date,Activity,Rank,Name,RequestedBy,RequestDate,ApprovedBy,ApproveDate,Status,History
20107660,2024-01-22,ZAEUW,MY,Christina Terry,admin,2024-01-29,,,Approved,"[{""date"": ""2024-01-29"", ""action"": ""requested"", ""by"": ""admin""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""admin"", ""comments"": """"}]"
20107660,2024-01-23,ZAEUW,MY,Christina Terry,admin,2024-01-29,,,Approved,"[{""date"": ""2024-01-29"", ""action"": ""requested"", ""by"": ""admin""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""admin"", ""comments"": """"}]"
20107660,2024-01-24,ZAEUW,MY,Christina Terry,admin,2024-01-29,,,Approved,"[{""date"": ""2024-01-29"", ""action"": ""requested"", ""by"": ""admin""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""admin"", ""comments"": """"}]"
20107660,2024-01-25,ZAEUW,MY,Christina Terry,admin,2024-01-29,,,Approved,"[{""date"": ""2024-01-29"", ""action"": ""requested"", ""by"": ""admin""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""admin"", ""comments"": """"}]"
22620340,2024-01-01,ZAEUW,MY,Amanda Morris,ADMIN,2024-01-29,,,Approved,"[{""date"": ""2024-01-29"", ""action"": ""requested"", ""by"": ""ADMIN""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": ""APROBADO""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": ""APROBADO""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": ""SI""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": """"}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": ""SI""}]"
22620340,2024-01-02,ZAEUW,MY,Amanda Morris,ADMIN,2024-01-29,,,Approved,"[{""date"": ""2024-01-29"", ""action"": ""requested"", ""by"": ""ADMIN""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": ""APROBADO""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": ""APROBADO""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": ""SI""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": """"}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": ""SI""}]"
22620340,2024-01-03,ZAEUW,MY,Amanda Morris,ADMIN,2024-01-29,,,Approved,"[{""date"": ""2024-01-29"", ""action"": ""requested"", ""by"": ""ADMIN""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": ""APROBADO""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": ""APROBADO""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": ""SI""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": """"}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": ""SI""}]"
22620340,2024-01-04,ZAEUW,MY,Amanda Morris,ADMIN,2024-01-29,,,Approved,"[{""date"": ""2024-01-29"", ""action"": ""requested"", ""by"": ""ADMIN""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": ""APROBADO""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": ""APROBADO""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": ""SI""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": """"}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": ""SI""}]"
22620340,2024-01-05,ZAEUW,MY,Amanda Morris,ADMIN,2024-01-29,,,Approved,"[{""date"": ""2024-01-29"", ""action"": ""requested"", ""by"": ""ADMIN""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": ""APROBADO""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": ""SI""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": """"}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": ""SI""}]"
22620340,2024-01-06,ZAEUW,MY,Amanda Morris,ADMIN,2024-01-29,,,Approved,"[{""date"": ""2024-01-29"", ""action"": ""requested"", ""by"": ""ADMIN""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": ""APROBADO""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": ""SI""}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": """"}, {""date"": ""2024-01-29"", ""action"": ""Approved"", ""by"": ""ADMIN"", ""comments"": ""SI""}]"
